Chapter,Class,Subject,category,correct_ans,opt_1,opt_2,opt_3,question,serialno
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"বৈরুত, লেবানন","ঢাকা, বাংলাদেশ","করাচি, পাকিস্তান","জুরিখ, সুইজারল্যান্ড",হোসেন শহীদ সোহরাওয়ার্দী মৃত্যুবরণ করেন কোথায়?,832
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,এগারোতম,প্রথম,ষষ্ঠ,তৃতীয়,এগারো দফা দাবির আগরতলা মামলা প্রত্যাহারের দাবি কততম দাবি ছিল?,833
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৫ ডিসেম্বর,৫ ডিসেম্বর,১৮ ডিসেম্বর,১০ ডিসেম্বর,বঙ্গবন্ধু কত তারিখে মুক্তিযোদ্ধাদের রাষ্ট্রীয় খেতাব প্রদান ঘোষণা করেন?,834
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৬ ডিসেম্বর, ১৯৭২","১৬ জানুয়ারি, ১৯৭৩","১ জানুয়ারি, ১৯৭২","৪ জানুয়ারি, ১৯৭২",বাংলাদেশের সংবিধান কার্যকর হয় কবে?,835
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৯ মার্চ, ১৯৪৮","১৯ জুলাই, ১৯৪৮","১৯ জানুয়ারি, ১৯৪৮","১৯ মার্চ, ১৯৪৭",ঢাকা বিশ্ববিদ্যালয়ের চতুর্থ শ্রেণির কর্মচারীদের অধিকার আদায়ের লক্ষ্যে বঙ্গবন্ধু শেখ মুজিবুর রহমান একটি আন্দোলন পরিচালনা করেন। এটি কত সালে?,836
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৪ বছর,৩ বছর,২ বছর,৫ বছর,বঙ্গবন্ধু স্কুলে থাকাকালীন ডাক্তারের পরামর্শ অনুযায়ী কত বছর লেখাপড়া বন্ধ ছিল?,837
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৫৭ সালে,১৯৬৬ সালে,১৯৭০ সালে,১৯৫৯ সালে,মাওলানা ভাসানী কবে আওয়ামী মুসলিম লীগ ত্যাগ করে ন্যাপ গঠন করেছিলেন?,838
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৫ ফুট ১১ ইঞ্চি,৫ ফুট ১২ ইঞ্চি,৬ ফুট ২ ইঞ্চি,৫ ফুট ৭.৫০ ইঞ্চি,বঙ্গবন্ধুর উচ্চতা ছিল কত?,839
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৪৭ সালে,১৯৪৮ সালে,১৯৪৯ সালে,১৯৪৬ সালে,বঙ্গবন্ধু কত সালে ঢাকায় চলে আসেন?,840
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৪ অক্টোবর, ১৯৪৯","১৪ ডিসেম্বর, ১৯৪৯","১৫ নভেম্বর, ১৯৫০","১১ জুলাই, ১৯৫১",ভুখামিছিলে নেতৃত্ব দেওয়ার জন্য বঙ্গবন্ধু কত তারিখে গ্রেফতার হন?,841
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,খোন্দকার মোশতাক,ইস্কান্দার মির্জা,তাজউদ্দীন আহমদ,আইয়ুব খান,ইনডেমনিটি অধ্যাদেশ কে জারি করেন?,842
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,জেনারেল জিয়াউর রহমান,খোন্দকার মোশতাক আহমেদ,ক্যাপ্টেন কে খন্দকার মেজর হালিম চৌধুরী,মেজর হালিম চৌধুরী,১৯৭৫ সালের ১৫ আগস্ট হতে ১৯৭৯ সালের ৯ এপ্রিল পর্যন্ত জারি করা সকল সামরিক আইন-বিধি কার্যক্রমকে বৈধতা দেন?,843
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৭ মাস,১৪ মাস,১৮ মাস,১৬ মাস,বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯৬৬ সালে গ্রেফতার হওয়ার পর কত মাস একাকী ছিলেন?,844
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,লেফটেন্যান্ট জাফর ইকবাল,কর্নেল শের আলি বাজ,সার্জেন্ট জহুরুল হক,ফজলুর রহমান সিএসপি,বঙ্গবন্ধু শেখ মুজিবুর রহমানকে কুর্মিটোলা ক্যান্টনমেন্টে এক কামরাবিশিষ্ট একটা দালানে রাখা হয়েছিল সে কামরায় বঙ্গবন্ধুর পাশের খাটে থাকতেন কে?,845
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,আমাশা,পাইলস,হার্টের অসুখ,চোখের যন্ত্রণা,বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯৬৮ সালে আগরতলা মামলায় মিলিটারি কাস্টডিতে থাকবার সময় কোন রোগে ভুগতেন?,846
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"উপরের সবগুলো (ক, খ ও গ)",বাঙালির বাঁচার দাবি,ম্যাগনাকার্টা,স্বাধীনতার মূলমন্ত্র,বঙ্গবন্ধু শেখ মুজিবুর রহমান ৬ দফাকে কী বলে অভিহিত করেন?,847
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৩ মার্চ, ১৯৭১","১ মার্চ, ১৯৭১","২১ মার্চ, ১৯৭০","২৫ মার্চ, ১৯৭০",ইয়াহিয়া অনির্দিষ্টকালের জন্য জাতীয় পরিষদের বৈঠক স্থগিতের ঘোষণা দিলে আওয়ামী লীগ কত তারিখে দেশব্যাপী হরতাল আহ্বান করেন?,848
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২০১০ সালে,১৯৯৬ সালে,২০১২ সালে,১৯৯৯ সালে,বঙ্গবন্ধুর ঘাতকদের মধ্যে পাঁচ ঘাতকের মৃত্যুদ- কার্যকর করা হয় কত সালে?,849
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৩ জানুয়ারি, ১৯৬৮","৩০ জুন, ১৯৬৮","৩ মার্চ, ১৯৬৯","৫ জানুয়ারি, ১৯৬৯",আগরতলা মামলা দায়ের করা হয় কবে?,850
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৬৭টি,২৮৮টি,১৭৯টি,১৮৮টি,আওয়ামী লীগ ’৭০ এর নির্বাচনে তৎকালীন পূর্ব পাকিস্তানে জাতীয় পরিষদের ১৬৯টি আসনের মধ্যে কতটি আসন পায়?,851
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৩০০টি,৩৩০টি,১৬৯টি,২৮৮টি,১৯৭০ সালে পূর্ব পাকিস্তান প্রাদেশিক পরিষদে মোট কতটি আসন ছিল?,852
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,এম এ হান্নান,আব্দুর রব সেরনিয়াবত,মেজর জিয়াউর রহমান,তাজউদ্দীন আহমদ,সর্বপ্রথম স্বাধীন বাংলা বেতার কেন্দ্র থেকে বঙ্গবন্ধুর স্বাধীনতার ঘোষণাপত্রটি পাঠ করেন কে?,853
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,লন্ডন,দিল্লি,জুরিখ,কলকাতা,বঙ্গবন্ধুর পিত্তকোষে অস্ত্রোপচার কোথায় করা হয়?,854
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৩৮ খ্রিস্টাব্দে,১৯৩৬ খ্রিস্টাব্দে,১৯৩৭ খ্রিস্টাব্দে,১৯৩৯ খ্রিস্টাব্দে,বঙ্গবন্ধু শেখ মুজিবুর রহমান প্রথম কারাবরণ করেন কত সালে?,855
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,সাংগঠনিক ক্ষমতা,শারীরিক বলিষ্ঠতা,কর্মনিষ্ঠা,কর্তব্য পরায়ণতা,বঙ্গবন্ধুর কীসের প্রতি মুগ্ধ হয়ে সোহরাওয়ার্দী বঙ্গবন্ধুকে গোপালগঞ্জে মুসলিম ছাত্র সংগঠন গড়ে তুলতে বলেছিলেন?,856
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"২ মার্চ, ১৯৪৮","২ মার্চ, ১৯৪৯","২১ ফেব্রুয়ারি, ১৯৫১","১১ মার্চ, ১৯৫০",‘সর্বদলীয় রাষ্ট্রভাষা সংগ্রাম পরিষদ’ গঠিত হয় কত তারিখে?,857
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৬৮ সালে,১৯৬৯ সালে,১৯৬৪ সালে,১৯৬৬ সালে,শেখ হাসিনার কত সালে বিবাহ হয়?,858
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বনানী কবরস্থানে,শহিদ বুদ্ধিজীবী কবরস্থান,আজিমপুর কবরস্থান,টুঙ্গিপাড়ায়,বঙ্গবন্ধুর পরিবারের অন্যান্য সবাইকে কোথায় কবর দেওয়া হয়?,859
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,শেরে বাংলা এ. কে. ফজলুল হককে,হাজী মোহাম্মদ দানেশকে,আবুল মনসুর আহমদকে,হোসেন শহীদ সোহরাওয়ার্দী,শেখ মুজিবুর রহমান কাকে অভিহিত করেছেন ‘পূর্ব বাংলার মাটির মানুষ’ এবং ‘পূর্ব বাংলার মনের মানুষ’ অভিধায়?,860
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,সাক্ষীদের ভালো করে মিথ্যা সাক্ষী দেওয়াতে পারে,ভালো ইংরেজি বলতে পারে,ভালো আলাপ করতে পারে,ভালো বাংলা বলতে পারে,বঙ্গবন্ধু শেখ মুজিবুর রহমান ‘কারাগারের রোজনামচা’য় তার ১২৪ ক ধারার সরকার পক্ষে মামলা পরিচালনাকারী উকিলের কী গুণ উল্লেখ করেছেন?,861
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,দেওয়ানি ওয়াডেৃ,পাগলদের ৪০ নম্বর ওয়ার্ডে,১০ নম্বর ওয়ার্ডে,পুরানো ২০ নম্বর সেলে,বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯৬৬ সালে গ্রেফতার হওয়ার পর ঢাকা সেন্ট্রাল জেলে কোন ওয়ার্ডে থাকতেন?,862
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"২৩ জুন, ১৯৫৫","২৮ আগস্ট, ১৯৫৬","২৭ জুলাই, ১৯৫৭","২৫ মার্চ, ১৯৫৮","কত তারিখে আওয়ামী লীগের কার্যকরী পরিষদে সিদ্ধান্ত গৃহীত হয় যে, পূর্ব পাকিস্তানের স্বায়ত্তশাসন প্রদান করা না হলে দলীয় সদস্যরা আইনসভা থেকে পদত্যাগ করবেন?",863
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৫৭ সালের ৩০ মে,১৯৫৮ সালের ২৩ জুন,১৯৫৯ সালের ২৪ জুলাই,১৯৬২ সালের ২৭ মার্চ,১৯৫৬ সালে মন্ত্রিত্ব পাবার পর বঙ্গবন্ধু শেখ মুজিবুর রহমান মন্ত্রিসভা থেকে পদত্যাগ করেন কত সালে?,864
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,1960,1965,1970,1969,বঙ্গবন্ধু শেখ মুজিবুর রহমান কত সালে ‘স্বাধীন বাংলা বিপ্লবী পরিষদ’ নামে একটি গোপন সংগঠন প্রতিষ্ঠা করেন?,865
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,1962,1960,1968,1966,সামরিক শাসক আইয়ুব খান বঙ্গবন্ধুকে কত সালে জননিরাপত্তা আইনে গ্রেফতার করে?,866
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,লন্ডনে,বৈরুতে,দিল্লিতে,প্যারিসে,হোসেন শহীদ সোহরাওয়ার্দী ১৯৬২ সালে চিকিৎসার জন্য কোথায় যান?,867
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ঢাকা সেনানিবাসে,লাহোরের কারাগারে,গৃহবন্দি করে,ঢাকা সেন্ট্রাল জেলে,"১৮ জানুয়ারি, ৬৮ বঙ্গবন্ধুকে জেল থেকে মুক্তি দিয়ে পুনরায় জেলগেট থেকে গ্রেফতার করে কোথায় রাখা হয়?",868
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৯৬ সালে,১৯৯১ সালে,১৯৯৪ সালে,১৯৯৭ সালে,বঙ্গবন্ধু কন্যা শেখ হাসিনার নেতৃত্বে বাংলাদেশ আওয়ামী লীগ প্রথম সরকার গঠন করে কত সালে?,869
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,পল্টন ময়দানে,পাকিস্তান গণপরিষদে,আরমানিটোলা মাঠে,রেসকোর্স ময়দানে,১৯৫৫ সালের ১৭ জুন পূর্ব পাকিস্তানের স্বায়ত্তশাসন দাবি করে ২১ দফা ঘোষণা করা হয় কোথায়?,870
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,মাওলানা ভাসানী,জিয়াউর রহমান,খন্দকার শামসুল হক,১৪৪ ধারা ভঙ্গ করে ভুখামিছিলের নেতৃত্ব প্রদান করেনÑ,871
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,গোপন সংগঠন,সাংস্কৃতিক সংগঠন,রাজনৈতিক অঙ্গসংগঠন,শিল্পী সাহিত্যিক-বুদ্ধিজীবীর সংগঠন,‘স্বাধীন বাংলা বিপ্লবী পরিষদ’ বঙ্গবন্ধু শেখ মুজিব কর্তৃক প্রতিষ্ঠিত একটিÑ,872
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ঢাকা সেনানিবাসে,এয়ারপোর্টে,কুষ্টিয়া সীমান্তে,লাহোরে,"২৫ মার্চ, ১৯৭১ মধ্যরাতে শেখ মুজিবুর রহমানকে পাকবাহিনী গ্রেফতার করে কোথায় নিয়ে যায়?",873
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,লন্ডন,দিল্লি,ঢাকা,কলকাতা,পাকিস্তান কারাগার থেকে মুক্তি পেয়ে বঙ্গবন্ধু শেখ মুজিবুর রহমান সর্বপ্রথম কোথায় গমন করেন?,874
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২৯৩টি,২৯১টি,২৮৮টি,২৮৯টি,আওয়ামী লীগ বাংলাদেশের প্রথম সাধারণ নির্বাচনে ৩০০টির মধ্যে কতটি আসন লাভ করে?,875
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,আলজেরিয়া,জুরিখ,জেনেভা,ফ্রান্স,১৯৭৩ সালের ৬ সেপ্টেম্বর জোট নিরপেক্ষ আন্দোলনের শীর্ষ সম্মেলনে যোগদানের জন্য বঙ্গবন্ধু কোথায় যান?,876
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,শেখ মুজিবুর রহমান,বেগম খালেদা জিয়া,শেখ হাসিনা,জিয়াউর রহমান,জাতিসংঘের সাধারণ পরিষদের অধিবেশনে বাংলাদেশের কোন সরকারপ্রধান সর্বপ্রথম বাংলায় ভাষণ দেন?,877
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯২০ সালের ১৭ মার্চ,১৯২৫ সালের ২৭ মার্চ,১৯২১ সালের ১৫ মার্চ,১৯২৩ সালের ১২ মার্চ,বঙ্গবন্ধু শেখ মুজিবুর রহমান জন্মগ্রহণ করেন কত সালে?,878
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১১ সেপ্টেম্বর, ১৯৪৯","১১ মার্চ, ১৯৪৮","১১ ফেব্রুয়ারি, ১৯৪৬","১১ এপ্রিল, ১৯৪৭",বঙ্গবন্ধু শেখ মুজিবুর রহমানকে ঢাকা বিশ্ববিদ্যালয় থেকে বহিষ্কার করা হয় কত সালে?,879
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৫৪ সালে,১৯৫৫ সালে,১৯৭০ সালে,১৯৭২ সালে,বঙ্গবন্ধু প্রথম কবে আইন পরিষদের সদস্য নির্বাচিত হয়েছিলেন?,880
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৩৫ জন,৩০ জন,৩৪ জন,৩১ জন,৯৩১ আগরতলা ষড়যন্ত্র মামলার আসামির মধ্যে বাঙালি মোট কতজন ছিল?,881
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৬ দফা দাবি,৭ মার্চের ভাষণ,২৬ মার্চেও স্বাধীনতা ঘোষণা,২১ দফা দাবি,বাঙালি জাতির ম্যাগনাকার্টা বলা হয় কাকে?,882
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বাংলা একাডেমি,দ্য ইউনিভার্সিটি প্রেস,পররাষ্ট্র মন্ত্রণালয়,লন্ডনস্থ বাংলাদেশি দূতাবাস,কারাগারের রোজনামচা ইংরেজিতে প্রকাশ করবে কে?,883
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,মাওলানা আজাদ কলেজ,কলকাতা আলীয়া মাদ্রাসা,জরহরলাল নেহেরু বিশ^বিদ্যালয়,কুমুদিনি কলেজ,কলকাতা ইসলামিয়া কলেজের বর্তমান নাম কী?,884
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"২৩ ফেব্রুয়ারি, ১৯৬৯","২১ ফেব্রুয়ারি, ১৯৬৯","১২ ফেব্রুয়ারি, ১৯৬৮","২২ ফেব্রুয়ারি, ১৯৬৭",রেসকোর্স ময়দানে (সোহরাওয়ার্দী উদ্যান) কেন্দ্রীয় সংগ্রাম পরিষদের উদ্যোগে শেখ মুজিবকে সংবর্ধনা দেওয়া হয়-,885
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৫ আগস্ট, ১৯৭৫","২৬ আগস্ট, ১৯৭৫","১৪ আগস্ট, ১৯৭৪","১৫ আগস্ট, ১৯৭৬",শেখ ফাজিলাতুন্নেছা মৃত্যুবরণ করেন-,886
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৮ মার্চ, ১৯৫৮","১ জানুয়ারি, ১৯৫৯","১২ মার্চ, ১৯৬২","৩ জুন, ১৯৬১",মাওলানা আব্দুল হামিদ খান ভাসানী কখন আওয়ামী লীগের সভাপতির পদ থেকে পদত্যাগ করেন?,887
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৩৭৩ সালের বৈশাখ,১৩৭৪ সালের আষাঢ়,১৩৭২ সালের বৈশাখ,১৩৭৫ সালের শ্রাবণ,বঙ্গবন্ধু শেখ মুজিবুর রহমান ‘কারাগারের রোজনামচা’য় উল্লেখ করেছেন কত সাল হতে তাঁর উপর সরকারের জুলুম পুরাদমে শুরু হয়?,888
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,আবদুস সালাম খান,আবুল মনসুর আহমদ,আবদুল মোনায়েম খান,“৮ দফা পূর্ব বাংলাকে ৬ দফা দাবি থেকে মোড় ঘুরাইবার একটা ধোঁকা ছাড়া কিছুই না”।- ‘কারাগারের রোজনামচা’য় কে ৮ দফা সম্পর্কে এই মন্তব্য করেছেন?,889
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,গোপী নাথ সাহা,কাজী গোলাম মাহবুব,ইয়ার মোহাম্মদ খান,“আমার সত্যই কোনো কষ্ট হয় না। আর ভিতর বাইরে সবই সমান। যারা দেশ চালায় তাদের অনেকেরে মধ্যে দয়ামায়া তো দূরের কথা মনুষ্যত্বও নাই”।- উক্তিটি কার?,890
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,নিরাপত্তা বিভাগের ডেপুটি জেলার মোজাম্মেল সাহেব,জেলার ফরিদ আহম্মদ,জেলের সুপারিনটেনডেন্ট বা ডিআইজি,সিপাহি ও জমাদার,বঙ্গবন্ধু শেখ মুজিবুর রহমানকে ১৯৬৮ সালের ১৭ জানুয়ারি রাত ১২টায় মুক্তির সংবাদ দিতে এসেছিলেন কে?,891
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৫৮ সালে,১৯৫৬ সালে,১৯৬৫ সালে,১৯৫৯ সালে,সামরিক শাসন জারি হলে তৎকালীন পাকিস্তানে রাজনীতি নিষিদ্ধ হয় কত সালে?,892
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১১ জন,১০ জন,১৫ জন,৮ জন,ছয় দফা আন্দোলনে কতজন শহিদ হন?,893
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,অতি অল্প সময়ে উল্লেখযোগ্যসংখ্যক রাষ্ট্রের স্বীকৃতি,সংবিধান প্রণয়ন,"পাকিস্তানিদের পরিত্যক্ত ব্যাংক, বিমা ও ৫৮০টি শিল্প ইউনিটের জাতীয়করণ",প্রশাসনিক ব্যবস্থার পুনর্গঠন,বঙ্গবন্ধু সরকারের বিশেষ সাফল্য কোনটি?,894
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"উপরের সবগুলো (ক, খ ও গ)",আওয়ামী লীগ,ন্যাপ,সিপিবি,১৯৭৩ সালের ৩ সেপ্টেম্বর ঐক্যফ্রন্ট গঠিত হয়। এই ফ্রন্টে কোন কোন রাজনৈতিক দল যোগ দেয়?,895
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৫৬ সালে,১৯৫৩ সালে,১৯৫৮ সালে,১৯৬২ সালে,খাদ্যের দাবিতে ভুখামিছিল বের করা হয় কত সালে?,896
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৭ ডিসেম্বর,৮ জানুয়ারি,৩ জুন,১১ ফেব্রুয়ারি,১৯৭০ সালের সাধারণ নির্বাচন অনুষ্ঠিত হয় কত তারিখে?,897
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৬৯টি,১৬৭টি,১৭৯টি,১৮৯টি,তৎকালীন পূর্ব পাকিস্তানে জাতীয় পরিষদের মোট কতটি আসন ছিল?,898
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৩ জানুয়ারি, ১৯৭১","৩০ জানুয়ারি, ১৯৭১","১ ফেব্রুয়ারি, ১৯৭১","১ মার্চ, ১৯৭১",’৭০-এর নির্বাচনে বিজয় লাভের পর বঙ্গবন্ধু কত তারিখে জনপ্রিতিনিধিদের শপথ গ্রহণ পরিচালনা করেন?,899
