Chapter,Class,Subject,category,correct_ans,opt_1,opt_2,opt_3,question
এই অক্ষরে (মহাদেব সাহা),7,বাংলা প্রথম পত্র,1,ব্যঞ্জনাধর্মী,ভিন্ন অর্থ,তাৎপর্যপূর্ণ,শাব্দের অর্থ,‘এই অক্ষরে’ কবিতার অভিধানগত অর্থের বাইয়ের অর্থ ―
এই অক্ষরে (মহাদেব সাহা),7,বাংলা প্রথম পত্র,1,জাতীয়,পারিবারিক,সামাজিক,আন্তর্জাতিক,বাংলা অক্ষর বা বর্ণমালা আমাদের কিসের পরিচয় ?
এই অক্ষরে (মহাদেব সাহা),7,বাংলা প্রথম পত্র,1,ভাষা,হরফ,বর্ণ,Letter,অক্ষর বলতে যা বোঝায় না ―
এই অক্ষরে (মহাদেব সাহা),7,বাংলা প্রথম পত্র,1,গভীর শ্রদ্ধা,ঘৃণা,অসম্মান,অবহেলা,কবি মহাদেব সাহার বাংলা অক্ষরের প্রতি যে ভালোবাসা তা প্রকাশ করতে বাংলা অক্ষরের প্রতি প্রযোজ্য ―
এই অক্ষরে (মহাদেব সাহা),7,বাংলা প্রথম পত্র,1,সবাই বাংলা ভাষায় কথা বলে বলে,সকলেই মাতৃভাষাকে শ্রদ্ধা করে বলে,বাংলা বর্ণমালা কঠির বলে,আকাশে তারা হয়ে আছে বলে,এই অক্ষর আত্মীয়-পর সকলকে কাছে টানে কেন ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,কোতোয়াল,মন্ত্রী,ভাগিনা,রাজপন্ডিত,রাজা কাকে শিরোপা দিলেন ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,বাসা জীর্ণ ও সংকীর্ণ,শাস্ত্র পড়তে না পারা,কায়দাকানুন না জানা,রাজদরবারের অবহেলা,পণ্ডিতদের মতে পাখি’র অবিদ্যার কারণ হলো―
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,১৯১৩ খ্রিষ্টাব্দে,১৯০১ খ্রিষ্টাব্দে,১৯৬৭ খ্রিষ্টাব্দে,১৯০৭ খ্রিষ্টাব্দে,রবীন্দ্রনাথ ঠাকুর কবে নোবেল পুরস্কার পান ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,রাজপন্ডিতদের,ভাগিনাদের,মন্ত্রীদের,স্যাকরাদের,খাঁচা বানানোর সিদ্ধান্ত কাদের ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,স্যাকরা,রাজপন্ডিতেরা,ভাগিনারা,লিপিকরেরা,খাঁচা কারা তৈরি করল ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,পুরস্কার,টাকা পয়সা,বকপাখির শিস,সুনাম,‘বকশিশ’ বলতে কী বোঝায় ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,প্রকৃতির নিয়মবহির্ভূত,সহজ,অনেক খরচ,বাস্তবসম্মত,পাখিকে বিদ্যা শেখানো ―
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,পাখি,মন্ত্রী,ভাগিনা,কোতোয়াল,‘তোতাকাহিনী’ গল্পে কোনটিকে মূর্খ বলা হয়েছে ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,পাখিদের ফল খাওয়া,বাগান রাজার দখলে থাকা,পাখিরা মূর্খ থাকা,পাখিদের বিদ্যালয় না থাকা,বাগানের লোকসান কোনটি ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,নির্বোধের,বুদ্ধিমানের,ধনীর,সুসময়ের,পাখির জন্য স্বর্ণের খাঁচা বানানো কিসের লক্ষণ ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,মুক্ত আকাশে উড়ে বেড়ানো,খাঁচায় আবদ্ধ থাকা,শিক্ষাশালায় বিদ্যা শিক্ষা গ্রহণ,রাজদরবারে আনাগোনা করা,পাখিদের স্বাভাবিক ধর্ম কোনটি ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,পাখিকে বিদ্যা শেখানো,পাখিকে সুন্দর খাঁচায় আবদ্ধ রাখা,দামি খাঁচায় পাখি রাখা,দেশিবিদেশিদের দেখানো,কোন উদ্দেশ্যে সোনার খাঁচা তৈরি করা হলো ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,ভাগ্নেদের,রাজাদের,রাজপুত্রদের,স্যাকরাদের,কাদের গলায় সোনার হার চড়ল ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,রাজা,পাত্র-মিত্র,ভাগ্নে,স্যাকরা,শিক্ষালয়ে কে স্বয়ং এসে হাজির হন ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,নিন্দুক,মন্ত্রী,ভাগ্নে,শাস্ত্রী,রাজাকে পাখি দেখার কথা কে বলেছেন ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,কিশলয়,রাজা,ভাগ্নে,বাতাস,দীর্ঘনিশ্বাসে মুকুলিত বনের আকাশ আকুল করে দিল ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,রবীন্দ্রনাথ ঠাকুর,কাজী নজরুল ইসলাম,হারুন হাবীব,সুনির্মল বসু,‘শেষের কবিতা’ গ্রন্থের রচয়িতা কে ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,কামার,রাজা,কুমোর,ভাগিনা,লোহার শিকল কে তৈরি করেছিল ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,রাজাকে পরামর্শ প্রদান,যুদ্ধে অংশগ্রহণ,খাজনা আদায় করা,রাজদরবার পাহারা দেওয়া,রাজপন্ডিতদের কাজ কোনটি ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,সত্য প্রকাশকারীদের,নিন্দাকারীদের,তোষামোদকারীদের,প্রশংসাকারীদের,‘তোতাকিাহিনী’ গল্পে নিন্দুক বলতে কাদের বোঝানো হয়েছে ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,নিন্দুক,মন্ত্রী,ভাগিনা,কোতোয়াল,রাজার পাখি মরিয়াছে ―একথা কে রটিয়েছেন?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,পুঁথির শুকনো পাতা,কলমের কালি,হাছের পাতা,দানাদার খাদ্য,পাখিটার পেটের মধ্যে কী খসখস গজগজ করছিল ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,রাজা,পাখি,ভাগিনা,নিন্দুকেরা,‘তোতাকাহিনী’ গল্পে নির্বোধ চরিত্র কোনটি ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,খসখস্ গজগজ্,মচমচ্ খসখস্,মর্মর গজগজ,মচমচ্ গজগজ্,মৃত পাখিটির পেটের মধ্যে শুকনো পাতা কেমন শব্দ করছিল ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,হাতির,ঘোড়ার,গাধার,খচ্চরের,রাজা কিসের পিঠে চড়ে পাখিটি দেখতে পেলেন ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,ভালো করে খাঁচা বানানো,স্বাধীনতার ব্যবস্থা করা,উত্তম খাদ্য দেওয়া,পাখিটাকে হত্যা করা,পন্ডিতদের বিচারে পাখির জন্য সবার আগে করণীয় কী ?
তোতাকাহিনী (রবীন্দ্রনাথ ঠাকুর ),7,বাংলা প্রথম পত্র,1,কাড়া-নাকাড়া,তুরী,দামামা,বিউগল,ঢাক জাতীয় বিবিধ বাদ্যযন্ত্র কী নামে পরিচিত ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,এক ঘন্টা,দুই ঘন্টা,তিন ঘন্টা,চার ঘন্টা,সপ্তাহের কত সময় রচনার জন্য বাঁধা ছিল ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,পকেট মারা গেছে,বাঘ এসেছে,অত ব্যস্ত হবেন না,রেশন শেষ হয়েছে,‘ব্যগ্র হোন কল্য’ ― এ কথা দিয়ে গণেশ কী বোঝাতে চেয়েছিল ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,১৩১০ বঙ্গাব্দের ২৭ অগ্রহায়ণ,১৩০৫ বঙ্গাব্দের ২০ পৌষ,১৩১২ বঙ্গাব্দের ১৫ চৈত্র,১৩২০ বঙ্গাব্দের ১০ মাঘ,শিবরাম চক্রবর্তী কবে জন্মগ্রহণ করেন ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,১৩৮৭ বঙ্গাব্দের ১১ ভাদ্র,১৩৮০ বঙ্গাব্দের ১০ চৈত্র,১৩৮১ বঙ্গাব্দের ১২ মাঘ,১৩৮৭ বঙ্গাব্দের ২০ ফাল্গুন,শিবরাম চক্রবর্তী কবে মৃত্যুবরণ করেন ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,সেকেন্ড পণ্ডিত,হেড পণ্ডিত,শরীরচর্চার শিক্ষক,থার্ড পণ্ডিত,সীতানাথবাবু কে ছিলেন ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,বাংলা,ইংরেজি,অঙ্ক,সংস্কৃত,সীতানাথবাবু স্কুলে কোনটি পড়াতেন ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,এক দিন,দুই দিন,তিন দিন,চার দিন,ছেলেদের সপ্তাহে কত দিন রচনা লেখানো হতো ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,গুরুচণ্ডালী দোষ,রেচনা লেখা,সাধু ভাষা,চলিত ভাষা,ছাত্রদের কোন বিষয়টি সীতানাথবাবু বোঝাতে পারেননি ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,গুরুচণ্ডালী,বানান ভুল,অস্পষ্ট হাতের লেখা,অসাধু ভাষার ব্যবহার,সীতানাথ বাবু ছেলেদের লেখার মধ্যে কী সহ্য করতেন না ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,সপ্তাহের এক ঘন্টা,প্রতিদিনের আধা ঘন্টা,প্রতিমাসের আধা ঘন্টা,প্রতি তিন মাসের এক দিন,ছেলেদের রচনার জন্য বাঁধা ছিল ―
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,রাগান্বিত,অগ্নি,হুতাশন,বিরক্ত,"“সীতানাথবাবু সেইসব রচনা পড়তেন, পড়ে পড়ে আগুন হেতেন ? ” বাক্যে ― ‘আগুন’ -এর অথূ কোনটি ?"
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,লাল,হলুদ,সাদা,কালো,দু-রঙা পেনসিলের কোন দিকটা ঘসঘস করে চলতে লাগল ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,গুরুচন্ডালী,মুদ্রাদোষ,মারামারি,পকেট মার,সেকেন্ড পণ্ডিত ছেলেদেরকে কোন দোষ থেকে মুক্ত করতে চেষ্টা করতেন ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,সেকেন্ড পণ্ডিত,গণেশ,ভাষাবিদ,ভাষাসৈনিক,"“কতবার বলেছি তোমাদের যে, ভাষায় খিচুড়ি পাকিয়ো না । ” ― এ উক্তি যিনি করেছেন তাঁর পরিচয় বুঝাতে কোনটি প্রযোজ্য ?"
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,উচ্ছের পায়েস,ক্ষীর পায়েস,নিমের পায়েস,গুড়ের পায়েস,‘গুরুচণ্ডালী’ গল্পে কোন পায়েসের কথা বলা হয়েছে ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,ঝাড়ু দেয় যে,ছাত্ররা,সেকেন্ড পণ্ডিত,মানস,কে হেডমাষ্টারের মধ্যে বসলে কটু দেখাবে ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,সুন্দর,ভুল,বিশুদ্ধ,শ্রুতিমধুর,গুরুচণ্ডালী পরিহার করলে লেখা কেমন হয় ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,গণেশ,শরিৎ,নিমাই,পকেটমার,‘ব্যগ্র হোন কল্য’ কথাটি কে বলেছিল ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,রচনায় সাধু ও কথা রীতির সংমিশ্রণ,আধুনিক বানানরীতির প্রয়োগ,রচনায় সন্ধির প্রয়োগ,রচনায় সমাসের ব্যবহার,গুরুচণ্ডালী বলতে কী বোঝায় ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,বাংলা ভাষায়,সংস্কৃত ভাষায়,সাধু ভাষায়,কথ্য ভাষায়,সীতানাখ বাবু কোন ভাষায় সুপণ্ডিত ছিলেন ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,সাধু চলিত মিশ্রণ,দুগ্ধ ফেননিভ শয্যা,ব্যগ্র হোন কল্য,আঞ্চলিক ভাষা,সীতানাথবাবুর মতে ‘জগাখিচুরি’ কী ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,শিবরাম চক্রবর্তী,বনফুল,শরৎচন্দ্র চট্টোপাধ্যায়,অজিত কুমার গুহ,‘গুরুচণ্ডালী’ গল্পের লেখক কে ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,পকেট মারা যাচ্ছে,কাল ব্যস্ত হবেন,কাল ব্যাগ নিয়ে যাচ্ছে,কাল ব্যস্ত হবে না ?,‘ব্যগ্র হোন কল্য’ বলতে গণেশ কী বোঝাতে চেয়েছিল ?
গুরুচন্ডালী (শিবরাম চক্রবর্তী),7,বাংলা প্রথম পত্র,1,আপনার ব্যাগ নিয়ে গেল,আপনার ব্যাকুলতা লক্ষ্য করল,আপনার আনুকূল্য পেল,আপনার নিমন্ত্রণ গ্রহণ করল,‘আপনার ব্যগ্র হোন কল্য’ ― এ দ্বারা মূলত কী প্রকাশ পেয়েছে ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,দিনাজপুর,কুমিল্লা,বরিশাল,রাজশাহী,লেখককে ঢাকা হতে কোন কোন কারাগারে স্থানান্তর করা হয় ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,বুলু মারা যাওয়ায়,হতাশ হয়েছিলেন বলে,দীর্ঘদিন পর দেখা হওয়ায়,প্রথমে চিনতে পারেনি,ডাক্তার সাহেব লেখককে জড়িয়ে ধরে কেঁদে উঠল কেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,অজিত কুমার গুহ,আবুল মনসুর আহমদ,ইমদাদুল হক মিলন,আমজাদ হোসেন,‘বুল’ গল্পটি কে লিখেছেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,১৯১৪ সালের ১৫ এপ্রিল,১৯১২ সালের ১৪ এপ্রিল,১৯১৩ সালের ১৪ এপ্রিল,১৯১৫ সালের ১২ এপ্রিল,অজিত কুমার গুহ কবে জন্মগ্রহণ করেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,কুমিল্লায়,ঢাকায়,বিক্রমপুরে,নরসিংদীতে,অজিত কুমার গুহ কোথায় জন্মগ্রহণ করেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,১৯৫২,১৯৬৯,১৯৭১,১৯৯০,‘বুলু’ গল্পে কোন সালে লেখক ঢাকা কারাগারে বন্দি ছিলেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,৩ দিন,১ দিন,২ দিন,৫ দিন,ঢাকা কেন্দ্রীয় কারাগারে কত দিন থাকার পর লেখকদের বদলি করা হয় ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,রাত ন’টায়,সকাল ন’টায়,সকাল দশটায়,দুপুর তিনটায়,লেখক গাড়িতে চড়েন কখন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,বিশ্ববিদ্যালয়ের ছাত্র,বুলুর বন্ধুর,বুলুর বাবা,পুলিশ,স্টিমারে কাদের সাথে লেখকের আলাপ হয় ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,গুপ্তচর বিভাগ,অভিনয় সংঘ,ভ্রমণ সংঘ,সেনাবাহিনীর দল,গোয়েন্দা বিভাগ কী ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,উত্তর দিকের বিশাল পাহাড়,বরফের পাহাড়,পাথরের পাহাড়,উঁচু পাহাড়,হিমালয় কী ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,ফাল্গুন,গ্রীষ্ম,বর্ষা,শীত,‘বুল’ গল্পে বাংলা কোন মাসের নাম উল্লেখ রয়েছে ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,ফর্সা গায়ের রং,কালো রং,হলুদ রং,সুন্দর,গৌরবর্ণ মানে কী ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,ভাষা আন্দোলন,মুক্তিযুদ্ধ,অসহযোগ আন্দোলন,গণঅভ্যুত্থান,১৯৫২ সালের আন্দোলন কোনটি ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,গণঅভ্যুত্থান,মুক্তিযুদ্ধ,ভাষা আন্দোলন,সিপাহি বিদ্রোহ,১৯৬৯ সালের আন্দোলন কোনটি ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,১৭ বছর,১৮ বছর,২০ বছর,১০ বছর,ডাক্তার সাহেবের সঙ্গে লেখকের দেখা কত বছর পর ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,শাহেদ,সাহেব,ছাদেক,সাবের,বুলুর বাবার নাম কী ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,তুমি পড়ো,তুমি কে,তুমি কী কর,তুমি কোথায় থাকো,প্রথম দিন বুলু লেখককে কী প্রশ্ন করেছিল?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,ফালতু,নিষ্কর্মা,আজেবাজে,অলস,‘বুলু’ গল্পে সাধারণ কয়েদিদের জেলখানার নাম কী ছিল ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,মিশুক,অনুসন্ধিৎসু,দুষ্টু,ঝগড়াটে,বুলু ছোটবেলায় কেমন ছিল ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,ভাষা আন্দোলন,গণঅভ্যুত্থান,স্বাধীনতা সংগ্রাম,স্বৈরাচার বিরোধী আন্দোলন,অজিত কুমার গুহ কোন আন্দোলনে সক্রিয়ভাবে অংশগ্রহণ করেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,আর ফিরেে এলো না,গুলিবিদ্ধ হলো,গ্রেফতার হলো,পালিয়ে গেল,বুলু মশাল হাতে বেরিয়ে যাওয়ার পর কী হলো ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,যমুনা,পদ্মা,মেঘনা,তিস্তা,‘বুলু’ গল্পের লেখকেরা কোন নদী পার হয়েছিলেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,ছোট গল্প,আত্মকাহিনী,সামাজিক কাহিনী,ঐতিহাসিক গল্প,‘বুলু’ মূলত কোন ধরনের সাহিত্যকর্ম ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,পাঁচ বছরের ফুটফুটে শিশুর কথা স্মরণ করে,বাইশ বছরের যুবকের কথা মনে করে,ডাক্তারের চেহারায় মিল না পেয়ে,ভাষা আন্দোলনের কথা মনে করে,লেখক স্তব্ধ ও রুদ্ধবাক হয়ে পড়লেন কেন ?
বুলু (অজিত কুমার গুহ),7,বাংলা প্রথম পত্র,1,কারাগারের একাকিত্ব,নির্জন দ্বীপ,জনমানবহীন এলাকা,স্ত্রী-পরিজন ব্যতীত জীবন,‘এমন বিরক্ত করার লোক এই বিচ্ছিন্নতার দ্বীপে কোথায় পাব আমি’ এখানে বিচ্ছিন্নতার দ্বীপ কী ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,ষোলো,পনেরো,সতেরো,আঠারো,‘মানুষের মন’ গল্পে পল্টুর বযস কত ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,যার যার মতো নিজস্ব বিশ্বাসে চলত,কারও সঙ্গে কথা বলত না,দু’জন আলাদা ঘরে বাস করত,দুজনই বোবা ছিল,নরেশ ও পরেণের মধ্যে ঝগড়া না হওয়ার কারণ কোনটি ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,বনফুল,গাছপাথর,অল্পদর্শী,শিবরাম চক্রবর্তী,‘মানষের মন’ গল্পের লেখকের নাম কী ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,বলাইচাঁদ মুখোপাধ্যায়,টেকচাঁদ ঠাকুর,বিমর মিত্র,প্যারিচাঁদ মিত্র,বনফুলের প্রকৃত নাম কী ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,সহোদর ভাই,চাচাত ভাই,মামাত-ফুফাত ভাই,মামা-ভাগ্নে,নরেশ ও পরেশ ―
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,নরেশ,পরেশ,তপেশ,পল্টু,গোঁড়া বৈজ্ঞানিক কে ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,পরেশ,পল্টু,তপেশ,নরেশ,গোঁড়া বৈষ্ণব কে ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,রসায়নে,পদার্থবিজ্ঞানে,জীববিজ্ঞানে,গণিতে,নরেশ কোন বিষয়ে এমএ পাস করেছেন ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,টাইফয়েড,কলেরা,লিভার ক্যান্সার,পেটের ব্যথা,পল্টুর কোন রোগ হয়েছিল ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,জ্ঞানমার্গ,ভক্তিমার্গ,উপার্জন,বিলাসিতা,বৈজ্ঞানিকের আত্মপ্রকাশ ঘটে কোনটির মাধ্যমে ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,নিরামিষ,আমিষ,চর্বি,চিংড়ি মাছ,বৈষ্ণবগণ কী ভোজন করেন ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,বৈজ্ঞানিক,কৃষিবিদ,বৈষ্ণব,ব্যবসায়ী,কে জ্ঞানমার্গ অবলম্বনকারীকে কী বলা হয় ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,আপেক্ষিকতার তত্ত্ব,পৃথিবীর অনিত্যতা,প্যাসকেলের তত্ব,নিউটনের তত্ত্ব,‘থিওরি’ অব রিলেটিভিটি’ বলতে কী বোঝায় ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,কলেরা,বসন্ত,কালা জ্বর,টাইফয়েড,পল্টুর বাবার তপেশ কোন রোগে মারা যান ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,বেজি,সাপ,খরগোশ,কাঠবিড়ালি,‘নেউল’ অর্থ কী ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,৭,৫,৯,১১,কবিরাজ পল্টুকে কত দিন চিকিৎসা করলেন ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,যার যার মতো নিজস্ব বিশ্বাসে চলত,দুজনই নিতান্ত ভদ্রলোক ছিল,দুজন আলাদা ঘরে বাস করত,কেউ কারো মুখদর্শন করত না বলে,নরেশ ও পরেশের মধ্যে ঝগড়া না হওয়ার কারণ কোনটি ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,নরেশ,পরেশ,তপেশ,পল্টু,কার গোঁফ ছিল ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,কলহ,রক্তের সম্পর্ক,শিক্ষাদীক্ষা,উদারতা,নরেশ ও পরেশের মাঝে যা নেই তা বুঝাতে প্রযোজ্য ―
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,নরেশ ও পরেশের মনের ভিন্নতাকে,নরেশের বৈজ্ঞানিক দৃষ্টিভঙ্গিকে,পরেশের বৈষ্ণবীয় ধারণাকে,পল্টুর অসুস্থতাকে,‘মানুষের মন’ গল্পে লেখক কী বোঝাতে চেয়েছেন ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,তপশের পুত্র,নরেশের ভাই,পরেশের পুত্র,তপশের ভাই,‘মানষের মন’ গল্পে পল্টু কে ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,মনোরমা,নিরুপমা,উপমা,সুষমা,তপেশের স্ত্রীর নাম কী ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,বলাইচাঁদ মুখোপাধ্যায়ের,রবীন্দ্রনাথের,কাজী নজরুল ইসলামের,সতিশের,‘বনফুল’ কার ছদ্ম নাম ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,গুরুদেবের পা ধোয়া জল,বৃষ্টির পরিষ্কার পানি,গঙ্গা নদীর পানি,সম্মানিত ব্যক্তির পা ধোয়া জল,চরণামৃত কী ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,কুষ্ঠি বিচারের জন্য,চিকিৎসার জন্য,ঝাড় ফুঁকের জন্য,তাবিজ-কবজের জন্য,জ্যোতিষীকে ডাকা হয়েছিল কেন ?
মানুষের মন ( বনফুল),7,বাংলা প্রথম পত্র,1,পরেশ,নরেশ,পল্টু,ডাক্তার,‘মানুষের মন’ গল্পে বর্ণিত খর্বাকৃতি কে ?
আদুভাই (আবুল মনসুর আহমদ),7,বাংলা প্রথম পত্র,1,১৮৯৮,১৮৯০,১৮৯৫,১৮৯৯,আবুল মনসুর আহমদের জন্ম কত সালে ?
